,Anch_sim_1,Anch_sim_2,Anch_sim_3
0,0.17788121,0.34366754,0.55149126
1,0.3101758,0.23465993,0.5035122
2,0.37856352,0.41829062,0.51874125
3,0.3939475,0.2668471,0.22794849
4,0.33277708,0.33716732,0.7508262
5,0.36695337,0.27376425,0.44306028
6,0.32578924,0.25386268,0.46018246
7,0.2229468,0.28094223,0.25851527
8,0.47268894,0.4125739,0.41068137
9,0.279542,0.3744389,0.42528003
10,0.2534762,0.3948727,0.34413198
11,0.28160304,0.17485553,0.24383946
12,0.5344092,0.60474575,0.37965906
13,0.6273871,0.5852962,0.35227844
14,0.6613956,0.30185935,0.63683623
15,0.57031024,0.62059104,0.26422805
16,0.2011516,0.54672223,0.39742002
17,0.09145397,0.5025302,0.25343397
18,0.59628004,0.33867317,0.15224427
19,0.34580144,0.2812967,0.22800605
20,0.34221202,0.6681344,0.31717956
21,0.18390825,0.24066527,0.38889673
22,0.20082995,0.53280896,0.16829625
23,0.11467232,0.28076243,0.32834664
24,0.2183864,0.040714234,0.23362948
25,0.14758907,0.07344742,0.44731605
26,0.19090953,0.20553274,0.23398697
27,0.46846828,0.28149742,0.12042068
28,0.27457643,0.7315393,0.4760932
29,0.2001032,0.23874097,0.121185295
30,0.24078572,0.15659295,0.21451837
31,0.23209691,0.1887748,0.27213794
32,0.213074,0.4301968,0.16645955
33,0.23046842,0.1858445,0.22035594
34,0.21983486,0.2677621,0.17147961
35,0.27674156,0.17173804,0.16856623
36,0.26766714,0.12661682,0.28319436
37,0.2233136,0.19248934,0.28012684
38,0.17994832,0.21965218,0.2851615
39,0.15071128,0.23199427,0.29678807
40,0.31019062,0.25400007,0.3148199
41,0.31227356,0.2797745,0.23295885
42,0.3475345,0.24975891,0.32640687
43,0.30208248,0.23484427,0.20602086
44,0.24565434,0.20492078,0.26723704
45,0.26485667,0.16571334,0.26485667
46,0.17535806,0.24746124,0.21892264
47,0.16911067,0.1824622,0.26750955
48,0.23443186,0.20227379,0.19739808
49,0.22289546,0.25414932,0.17816038
50,0.21056852,0.29359463,0.1547348
51,0.2438331,0.18880436,0.25248766
52,0.22962631,0.3134909,0.19331966
53,0.21423513,0.1786743,0.25280148
54,0.12909855,0.1579142,0.23762366
55,0.19929534,0.2067376,0.31893113
56,0.16233765,0.28566042,0.17683966
57,0.36112094,0.29705983,0.2570828
